imdb_title_id,MPAA_rating,Distributor,boxoffice_link
tt0109067,MPAAPG,MiramaxSee full company information,https://www.boxofficemojo.com/title/tt0109067/?ref_=bo_se_r_1
tt0109361,MPAAPG-13,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109361/?ref_=bo_se_r_1
tt0110064,MPAAR,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0110064/?ref_=bo_se_r_1
tt0109297,MPAAR,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0109297/?ref_=bo_se_r_1
tt0109040,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0109040/?ref_=bo_se_r_1
tt0110612,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110612/?ref_=bo_se_r_1
tt0110097,MPAAPG-13,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110097/?ref_=bo_se_r_1
tt0109959,MPAAR,Dimension FilmsSee full company information,https://www.boxofficemojo.com/title/tt0109959/?ref_=bo_se_r_1
tt0107983,MPAAR,Gramercy Pictures (I)See full company information,https://www.boxofficemojo.com/title/tt0107983/?ref_=bo_se_r_1
tt0109287,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109287/?ref_=bo_se_r_1
tt0110613,MPAAPG,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110613/?ref_=bo_se_r_1
tt0109890,MPAAR,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109890/?ref_=bo_se_r_1
tt0110725,MPAAR,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0110725/?ref_=bo_se_r_1
tt0109305,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109305/?ref_=bo_se_r_1
tt0110950,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110950/?ref_=bo_se_r_1
tt0109021,MPAAPG-13,New Line CinemaSee full company information,https://www.boxofficemojo.com/title/tt0109021/?ref_=bo_se_r_1
tt0107079,MPAAR,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0107079/?ref_=bo_se_r_1
tt0109936,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109936/?ref_=bo_se_r_1
tt0109402,MPAAPG-13,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0109402/?ref_=bo_se_r_1
